id,claim_id,claim,claimant,evidence,factcheck_verdict,is_gold,relevant,evidence_stance,fc_source
srilankafactcrescendo_0,srilankafactcrescendo_0,An Aerial View of a High Way Built in Sri Lanka Misusing Public Funds !!,Social Media Users,"It is confirmed that the bridge shown in these social media posts is not a bridge built in Sri Lanka. Accordingly this bridge appears to be the Raiwind Flyover in Lahore, Panjab, Pakistan, which was constructed in 2017. At the same time, there has been a wide discussion about this and there are reports that the government has made this construction in such a complex shape according to certain conventions.",False,True,True,insufficient-contradictory,srilankafactcrescendo
srilankafactcrescendo_1,srilankafactcrescendo_1,Former and Current Prez are using the same set of prez advisors !!,Social Media Users,"The social media posts suggesting that the same advisors serve both Ranil Wickremesinghe and Anura Kumara Dissanayake are misleading. The individuals appearing in the photos represent the Ceylon Chamber of Commerce and were involved in presenting the ""Vision 2030"" document to both leaders. They did not serve as permanent or official presidential advisors. The current president, Anura Kumara Dissanayake, has appointed only two advisors so far. One of them is the Mr Hulangamuwa, who is seen in both photographs as he was serving as the Chamber`s chairman.",False,True,True,refutes,srilankafactcrescendo
srilankafactcrescendo_1_ret_b14_gn,srilankafactcrescendo_1,Former and Current Prez are using the same set of prez advisors !!,Social Media Users,"Does it really matter whether former political advisors get elected to public office? Former advisors are likely to have more skills than other newly elected legislators, allowing them to hit the ground running when it comes to performing the duties of their office. In this sense, a voter might see electing a former advisor as the smart choice, since they are likely to be more effective than candidates without political experience. Are former advisors likely to use these skills and networks to further their constituents’ interests, however? Indeed, we have good reason to think that former political advisers bring more than their expertise in the process of politics, but may even approach their responsibilities differently in the first instance. A central question each representative must confront is to whom they should be responsive. One difference between former advisors and those with other types of pre-legislative experience might be their views on the nature of mass-elite linkages in representative style ( [...] The phenomenon of former advisors becoming elected officials also informs the personalization of politics. Personalization refers to a """,False,False,True,insufficient-supports,srilankafactcrescendo
srilankafactcrescendo_1_ret_bn_g8,srilankafactcrescendo_1,Former and Current Prez are using the same set of prez advisors !!,Social Media Users,"Same Advisory Panel For Former President Wickremesinghe & Current President Anura Kumara? [...] One such claim compares two images, one featuring former President Ranil Wickremesinghe and another featuring current President Anura Kumara Dissanayake, alongside individuals purported to be their shared advisors. The posts suggest that despite leadership changes, the same advisors continue to serve the president, implying no substantial difference in governance. [...] The social media posts suggesting that the same advisors serve both Ranil Wickremesinghe and Anura Kumara Dissanayake are misleading. The individuals appearing in the photos represent the Ceylon Chamber of Commerce and were involved in presenting the ""Vision 2030"" document to both leaders. They did not serve as permanent or official presidential advisors. The current president, Anura Kumara Dissanayake, has appointed only two advisors so far. One of them is the Mr Hulangamuwa, who is seen in both photographs as he was serving as the Chamber`s chairman.",False,False,True,refutes,srilankafactcrescendo
srilankafactcrescendo_100,srilankafactcrescendo_100,Eating Fruits On An Empty Stomach Cures Cancer!,Social Media Users,Our investigation shows that the claims circulating on social media stating that eating fruit on an empty stomach is a cancer treatment and that drinking cold water or drinks after a meal can cause cancer is false.,False,True,True,refutes,srilankafactcrescendo
srilankafactcrescendo_100_ret_b1_gn,srilankafactcrescendo_100,Eating Fruits On An Empty Stomach Cures Cancer!,Social Media Users,"Social media posts circulating in Indonesia claim that eating fruit on an empty stomach will ""cure cancer"". The claim has circulated online in the Southeast Asian nation since at least 2013. It also recently recirculated in French-speaking African countries. But experts told AFP there is no scientific evidence to support the claim. [...] Indonesian experts also told AFP that eating fruit on an empty stomach cannot ""cure"" cancer. [...] ""There has been no scientific evidence that eating fruit on an empty stomach will cure cancer,"" he told AFP.",False,False,True,refutes,srilankafactcrescendo
srilankafactcrescendo_100_ret_bn_g14,srilankafactcrescendo_100,Eating Fruits On An Empty Stomach Cures Cancer!,Social Media Users,"Eat Fruit On An Empty Stomach? [...] The notion that you should eat fruit only on an empty stomach is a persistent myth that has been circulating online for years. Supposedly, if you eat fruit along with other foods, you won’t be able to digest it; instead, it will stay in your stomach and rot. This is nonsense. Fruit may digest more quickly if you eat it on an empty stomach, but it certainly won’t rot if it is sharing space with other food. Rotting represents decomposition by microorganisms, few of which can live on the strongly acidic environment of the stomach. Related myths are that eating fruit along with other foods will cause gas, bloating, weight gain, gray hair, balding, nervous breakdowns and dark circles under the eyes. I’ve seen claims that eating fruit on an empty stomach will prevent – or cure – cancer as well as detoxify your system and energize you. There is absolutely no scientific basis for any of this.",False,False,True,refutes,srilankafactcrescendo
srilankafactcrescendo_101,srilankafactcrescendo_101,"America’s Most Famous Burger , Owned By China !!",Social Media Users,"Fact Crescendo has found that the articles attached to the above claim are misleading. China does not own America's most famous burger. McDonald's present headquarters are in Chicago, Illinois, and are managed by Chris Kempczinski.",False,True,True,refutes,srilankafactcrescendo
srilankafactcrescendo_101_ret_b8_gn,srilankafactcrescendo_101,"America’s Most Famous Burger , Owned By China !!",Social Media Users,"Recently, there was a viral article claiming that America’s most famous burger brand is no longer American. The above article attached to the claim referring to China has been shared by the social media users, leading them to be confused about whether this piece of news was real. [...] Determining the ""Most Famous"" burger brand in America may be a personal decision. However, if sales numbers were considered, McDonald's would have topped the food chain. [...] Fact Crescendo has found that the articles attached to the above claim are misleading. China does not own America's most famous burger. McDonald's present headquarters are in Chicago, Illinois, and are managed by Chris Kempczinski.",False,False,True,refutes,srilankafactcrescendo
srilankafactcrescendo_101_ret_b9_gn,srilankafactcrescendo_101,"America’s Most Famous Burger , Owned By China !!",Social Media Users,"An online advertisement accurately reported that ""America's most famous burger brand is now Chinese-owned."" Claim: Rating: About this rating False Context The online ads that made this false claim were nothing more than misleading clickbait that attempted to entice readers to click or scroll through an article that spanned nearly 400 paragraphs. Nowhere in the article did the author provide details about a U.S. burger brand being purchased by company in China. We hope to have saved readers some time with our brief fact check and have detailed below why these kinds of ads and articles exist in the first place. In December 2023, multiple display advertisements were shown to online users on YouTube and other websites that claimed, ""America's Most Famous Burger Brand Is Now Chinese Owned."" In this story, we've detailed how these ads were both false and misleading. We've also provided information about some of the most successful U.S. burger brands. Misleading Burger Ads One ad that we reviewed showed a photo of a large cheeseburger in what appeared to be the dining room of a restaurant. We performed a reverse-image search and traced the picture to a page on Pinterest. A link on that Pinterest page led to another page on friesandsalt.tumblr.com, which…",False,False,True,refutes,srilankafactcrescendo
srilankafactcrescendo_101_ret_bn_g0,srilankafactcrescendo_101,"America’s Most Famous Burger , Owned By China !!",Social Media Users,"(KGTV) — An ad popping up online claims America's most famous burger brand is now owned by the Chinese. While the term ""most famous"" is subjective, McDonald's is the country's best-selling burger chain and it's headquartered in Chicago, not China. [...] By the way, clicking on the fake ads will take you to a long article that never mentions a U.S. burger brand being purchased by a company in China.",False,False,True,insufficient-refutes,srilankafactcrescendo
srilankafactcrescendo_101_ret_bn_g4,srilankafactcrescendo_101,"America’s Most Famous Burger , Owned By China !!",Social Media Users,"America’s Most Famous Burger Does NOT Owned by China [...] Fact Crescendo has found that the articles attached to the above claim are misleading. China does not own America's most famous burger. McDonald's present headquarters are in Chicago, Illinois, and are managed by Chris Kempczinski. Title:America’s Most Famous Burger Does NOT Owned by China",False,False,True,refutes,srilankafactcrescendo
srilankafactcrescendo_102,srilankafactcrescendo_102,Ranil Wickremesinghe Says That No Election Will Be Held Until The End Of The IMF Program !,Social Media Users,"In conclusion, the claim that President Ranil Wickremesinghe announced the postponement of elections in Sri Lanka until the completion of an IMF reform program is false. The Election Commissioner has refuted this claim, and there is no constitutional basis for such a decision. It is essential to rely on credible sources and factual information when evaluating such claims.",False,True,True,refutes,srilankafactcrescendo
