claim,evidence,evidence_length,random_shuffled_context,id,claim_id,claimant,factcheck_verdict,is_gold,relevant,evidence_stance,fc_source
"“Vitamin D3 is radiated sheep’s wool mixed with chloroform”, “Vitamin D3 IS RAT POISON !!”, “D levels are low because of lack of light and high vitamin A diets.”","Vitamin D is important for building and maintaining strong bones, as well as regulating calcium and phosphate ion levels in the body. People can obtain vitamin D from food and sun exposure. However, vitamin D supplements may be recommended for people who have difficulty meeting their needs through natural sources. Two groups at high risk of vitamin D deficiency are breastfed infants, as human milk doesn’t contain enough vitamin D, as well as the elderly, because the body’s ability to store and make vitamin D diminishes with age.",88,"Despite overwhelming scientific evidence showing that COVID-19 vaccines are a safe and effective means to prevent severe cases of a disease that has killed nearly one million people in the U.S., there has been a proliferation of false and misleading claims trying to undermine the public’s confidence in their safety and uptake. [...] Throughout 2021 and into the present, DiResta’s team at the Stanford Internet Observatory (SIO) has been working hard to detect and disrupt mis- and disinformation related to the COVID-19 vaccines in real-time as part of her work leading the Virality Project, a multi-year effort between SIO and five other research groups. Their collaboration has culminated in a new report, Memes, Magnets and Microchips: Narrative dynamics around COVID-19 vaccines, that offers specific recommendations for how public health officials, social media platforms and other academic institutions can counter and curb the spread of false or misleading information that has a potential negative impact on individual or public health. [...] Tackling real-time disinformation about the COVID-19 vaccines",sciencefeedback_0,sciencefeedback_0,Evan Torrens,False,True,True,insufficient-neutral,sciencefeedback
"“Vitamin D3 is radiated sheep’s wool mixed with chloroform”, “Vitamin D3 IS RAT POISON !!”, “D levels are low because of lack of light and high vitamin A diets.”","Harvesting Vitamin D3 from Sheep Wool The most fascinating source of Vitamin D3 is lanolin - a natural fat found in sheep's wool. Lanolin contains 7-dehydrocholesterol, which is a precursor of Vitamin D3. In the industrial process, this ingredient is exposed to UVB radiation, transforming it into fully-fledged Vitamin D3. This process is a perfect example of how nature works with science to provide people with valuable nutrients. [...] Although lanolin from sheep wool is a popular source of Vitamin D3 in supplements, there are also other methods of obtaining it. Vitamin D3 can also be synthetically produced or obtained from other natural sources, such as fish oil. It is important to pay attention to their origin when choosing supplements, especially if you prefer vegan or vegetarian products.",128,"Mosquitoes can transmit several deadly infectious diseases. The U.S.-owned biotechnology company Oxitec released genetically modified mosquitoes in Florida as part of a strategy to reduce the population of Aedes mosquitoes responsible for diseases like dengue and West Nile fever. However, these mosquitoes cannot transmit malaria because the parasite that causes malaria is only borne by Anopheles, a different genus of mosquito.",sciencefeedback_0_ret_b4_gn,sciencefeedback_0,Evan Torrens,False,False,True,insufficient-contradictory,sciencefeedback
"“Vitamin D3 is radiated sheep’s wool mixed with chloroform”, “Vitamin D3 IS RAT POISON !!”, “D levels are low because of lack of light and high vitamin A diets.”","Support your immune system with Puori D3 – a potent dose of Vitamin D (2500IU) from a natural source (sheep's wool), dissolved in organic coconut oil for optimal absorption. [...] Naturally sourced vitamin D from lanolin, a natural component extracted from sheep’s wool. [...] The vitamin D in Puori D3 is extracted from lanolin, a natural component of sheep’s wool. The wool is gently sheared from the sheep and undergoes a purification and cleaning process. From the wool a pre-state of vitamin D is extracted. Radiation with UV light of the pre-vitamin D forms active vitamin D, comparable to how sunlight initiates the vitamin D formation in our skin. Afterwards, the vitamin D is mixed with organic virgin coconut oil.",120,"Scientists announced Monday that they may have solved one of history's biggest biomedical mysteries—why the deadly 1918 ""Spanish flu"" pandemic, which killed perhaps 50 million people worldwide, largely targeted healthy young adults. (Related: ""How Flu Viruses Attack."") [...] Instead, people aged 18 to 29 died in droves during the outbreak, which killed about 1 in 200 of victims. [...] The overall message of the study is a hopeful one, say the researchers, because the bacterial pneumonia secondary to the 1918 flu that killed most of its victims is treatable with modern antibiotics.",sciencefeedback_0_ret_b9_gn,sciencefeedback_0,Evan Torrens,False,False,True,insufficient-refutes,sciencefeedback
"“Vitamin D3 is radiated sheep’s wool mixed with chloroform”, “Vitamin D3 IS RAT POISON !!”, “D levels are low because of lack of light and high vitamin A diets.”","A Facebook reel posted in May 2024 referred to vitamin D3 supplements as ""rat poison"", calling them ""radiated sheep’s wool mixed with chloroform"". It also asserted that vitamin D levels are only low due to lack of sunlight and ""high vitamin A diets"" and that only vitamin D3 from the sun is safe. The reel was viewed more than 403,000 times at the time of writing. [...] Vitamin D3 supplements aren’t ""radiated sheep’s wool mixed with chloroform"" [...] Torrens’ description of vitamin D3 supplements as ""radiated sheep’s wool and chloroform"" is inaccurate. The process of artificially synthesizing vitamin D3 parallels the process that occurs in the human body upon exposure to sunlight. Specifically, it involves UV irradiation of 7-dehydrocholesterol derived from lanolin—a waxy substance extracted from sheep wool. Lanolin is also used in creams to treat skin irritation due to breastfeeding. Neither sheep wool nor chloroform are ingredients in artificial vitamin D3.",152,CDC data did not show an increased risk of autism in African-American boys associated with the MMR vaccine. This claim is based on a study that was later retracted due to its methodological flaws which produced spurious results. Overwhelming scientific evidence shows that vaccines do not cause autism.,sciencefeedback_0_ret_bn_g0,sciencefeedback_0,Evan Torrens,False,False,True,insufficient-refutes,sciencefeedback
"“There is a huge boom in cancer, especially in female breast cancer in the younger ages of 45 and below.”","Official figures for breast cancer cases in 2022 aren’t yet available. However, there is no reason to believe that they will have almost doubled. This claim came from misinterpreting projections that were not comparable to years before 2022. The COVID-19 vaccines have been extensively studied, and there’s no reliable evidence that they increase cancer risk.",55,"Research has shown that people with ADHD exhibit differences in brain structure and function compared to typical people (i.e. those without the disorder). Several genes associated with ADHD risk have also been identified. In short, ADHD is a genuine neurodevelopmental disorder, and not simply fabricated for profit.",sciencefeedback_101,sciencefeedback_101,Social media users,False,True,True,insufficient-refutes,sciencefeedback
"“There is a huge boom in cancer, especially in female breast cancer in the younger ages of 45 and below.”","Mubarik, S. et al. Epidemiological and sociodemographic transitions of female breast cancer incidence, death, case fatality and DALYs in 21 world regions and globally, from 1990 to 2017: An Age-Period-Cohort Analysis. J Adv Res37, 185–196, https://doi.org/10.1016/j.jare.2021.07.012 (2022). Li, Y. et al. Global Burden of Female Breast Cancer: Age-Period-Cohort Analysis of Incidence Trends From 1990 to 2019 and Forecasts for 2035. Front Oncol12, 891824, https://doi.org/10.3389/fonc.2022.891824 (2022). [...] Arshi, A. et al. Expression Analysis of MALAT1, GAS5, SRA, and NEAT1 lncRNAs in Breast Cancer Tissues from Young Women and Women over 45 Years of Age. Mol Ther Nucleic Acids12, 751–757, https://doi.org/10.1016/j.omtn.2018.07.014 (2018).",100,"In June 2016 an image macro became newly popular (likely due to a concurrent cancer conspiracy rumor) on social media, holding that the bitter almond tree had been banned across the United States since 1995 because it contains high levels of the cancer-fighting vitamin B17 (also known as Laetrile): The claim was an old and deceptively multi-layered one, asserting that the bitter almond tree had been banned across the United States, that the ban was enacted in a particular year (1995), that the banned substance contained levels of Vitamin B17 sufficient to prevent and treat cancer, and that the unspecified powers that be explicitly and unquestionably banned the plant solely because it could save people's lives by fighting cancer. [...] Following the investigation by FDA, the USAO, and the USPIS, the U.S. District Court for Eastern District of New York placed Vale's illegal sales and promotion of Laetrile — also known as amygdalin, ""Vitamin B-17"", or apricot pits — under injunction in April 2000. Defying the court order, Vale set up a shell corporation in Arizona, and continued to ship the product from the basement of his own home to customers passed on to him by his New York firm. For these activities, Vale was found guilty 11 months ago of three counts of criminal contempt, and ordered to be held without bail pending his sentencing.",sciencefeedback_101_ret_b3_gn,sciencefeedback_101,Social media users,False,False,True,insufficient-neutral,sciencefeedback
"“There is a huge boom in cancer, especially in female breast cancer in the younger ages of 45 and below.”","""Something’s going on here … ’22 and ’23, there is a huge boom in cancer, especially in female breast cancer in younger ages of 45 and down below,"" states TikTok user James Bishop, a self-proclaimed ""numbers guy"" who identifies himself as a husband, father, musician, retired firefighter, paramedic and educator. But Bishop is wrong. The supposed ""boom"" in breast cancer is based on a comparison between projected case numbers in women under 45 a few years ago to later projected estimates for all women or those under 50. [...] For 2019 through 2021, Bishop correctly says that ACS projected about 26,500 new cases of breast cancer each year for women under 45. But for 2022, he misleadingly gives a projection — 47,550 — for women under 50. He does not make it clear that this number reflects a wider age range, instead claiming that the cases are ""double.""",148,"Actually, the opposite is true: Devices like tanning beds and sun lamps can emit higher amounts of ultraviolet radiation than the sun, including both UVA and UVB radiation. UV radiation of any type increases your cancer risk, and the more you get, the higher your risk.Â [...] Many Americans are deficient in vitamin D, and certain groups â like older adults, obese people and people with dark skin â are at higher risk of a deficiency. And itâs true that UV exposure without the protection of sunscreen causes your skin to produce vitamin D. Vitamin D is important for promoting strong, healthy bones and has even been linked to lower risks of certain types of cancer. [...] Thereâs nothing wrong with enjoying the sunshine, Lee said. But slap on that sunscreen first. Getting a sunburn, even infrequently, boosts your risk of melanoma.",sciencefeedback_101_ret_bn_g1,sciencefeedback_101,Social media users,False,False,True,refutes,sciencefeedback
5G at 60 GHz “stops the human body and blood absorbing oxygen”; this is what doctors are describing in COVID-19 cases,"Wireless communications transfer data from one point to another using electromagnetic waves. When traveling through the air, these waves interact with particles and substances, such as oxygen, that can absorb part of their energy. This phenomenon causes the electromagnetic signal to lose strength with distance but doesn’t change the amount of oxygen in the atmosphere nor makes it unavailable to the body. Electromagnetic waves can also interact with biological tissues, but current exposure hasn’t been associated with health problems in people.",81,"FULL CLAIM: ""No such thing as ‘long COVID,’ health agency says in shocking claim: ‘Unnecessary fear’""; ""Top government health chief declares 'long COVID' doesn't really exist, study finds flu impairs more people in the long term""; ""Australia: Queensland Health Researchers Claim ‘Long COVID’ Isn’t Real, Calls It ‘Unnecessary Fear’"" [...] In this review, we show why claims that the study found long COVID doesn’t exist grossly misrepresent the study and the position of Queensland’s Chief Health Officer. [...] Therefore, the study demonstrated the opposite of what headlines by the New York Post and The Blaze claim: long COVID exists and that it significantly affects people’s lives. What the researchers also found was that long COVID resembled post-viral syndrome that also develops in some people after other viral infections, like flu.",sciencefeedback_102,sciencefeedback_102,David Icke,False,True,True,refutes,sciencefeedback
5G at 60 GHz “stops the human body and blood absorbing oxygen”; this is what doctors are describing in COVID-19 cases,"What does 5G have to do with coronavirus? [...] What does 5G have to do with COVID19? [...] Understandably, people are trying to make sense of an infectious disease pandemic that, for many, seems to have come out of nowhere and turned their worlds upside down. But the false claims being made about the role of mobile 5G networks in the spread of SARS-CoV-2 are, at best, unhelpful and, at worst, downright dangerous.",73,"It is neither a ""breaking"" revelation nor an ""admission"" that Moderna was working on a vaccine for the newly discovered coronavirus variant (then called 2019-nCoV and later renamed SARS-CoV-2) in January 2020; both Moderna and the federal government issued myriad press releases at the time. Further, mRNA vaccines like the ones Moderna had been developing well before the COVID-19 pandemic had long been considered a possible pathway to a vaccine to stop a coronavirus-driven outbreak. [...] ""Breaking,"" the viral tweet read, ""Moderna CEO admits on live air at Davos they were making a COVID-19 vaccine in January of 2020 before SARS-CoV-2 even had a name."" Davos refers to the annual meeting of the World Economic Forum — a meeting that occurs in January of each year and is a frequent target of conspiracy theorists. [...] Because it is not ""breaking"" news that Moderna had been working on a COVID-19 vaccine in January 2020, and because repeating publicly available information three years after its release does not constitute an ""admission"" of any kind, we rank this claim ""False.""",sciencefeedback_102_ret_b14_gn,sciencefeedback_102,David Icke,False,False,True,refutes,sciencefeedback
5G at 60 GHz “stops the human body and blood absorbing oxygen”; this is what doctors are describing in COVID-19 cases,"Novel 60 GHz Band Spatial Synthetic Exposure Setup to Investigate Biological Effects of 5G and Beyond Wireless Systems on Human Body - PMID: 34938710 - PMCID: PMC8685201 - DOI: 10.3389/fpubh.2021.777712 Novel 60 GHz Band Spatial Synthetic Exposure Setup to Investigate Biological Effects of 5G and Beyond Wireless Systems on Human Body The global spread of 5th generation (5G) wireless systems causes some concern about health effects of millimeter waves (MMW). To investigate biological effects of local exposure to 5G-MMW on human body, a novel 60 GHz band exposure setup was developed, and its performance was validated. A spatial synthetic beam-type exposure setup using two dielectric lens antennas was proposed to achieve high intensity 60 GHz irradiation to the target area of human skin. Variety distributions and intensities of electromagnetic fields at the exposed area, which is modified by incident angles of the combined beams, were simulated using finite-difference time-domain methods. The exposure performance we estimated was verified by temperature elevations of surface in a physical arm-shaped silicone phantom during the MMW exposure. The interference fringes generated in the exposed area due to the combined two-directional beam radiations were observed both in the simulation and in the phantom experiment but eliminated by applying an orthogonalizing polarized feeding structure. Under these exposure conditions, the local temperature changes, which could evoke warmth sensations, were obtained at the target area of the human forearm skin, which means the achievement of exposure performance we intended.",240,"Misrepresents source: None of the three studies found that COVID-19 mRNA vaccines increase the risk of sudden death or metabolic cardiomyopathy, as McCullough claimed. One study of autopsies of vaccinated people clarified that none of the deaths were caused by the vaccine; another study was performed in people who showed no symptoms of heart problems and didn’t report any deaths, while the other study used very high doses of vaccine that aren’t comparable to doses used in vaccination. [...] During the interview, McCullough claimed that three studies—one from Krauson et al., another from Nakahara et al., and the other from Schreckenberg et al.—were evidence that the COVID-19 mRNA vaccines caused ""a form of metabolic cardiomyopathy"" that could explain ""sudden cardiac death""[1-3]. [...] The claim that these three studies point to COVID-19 mRNA vaccines causing ""metabolic cardiomyopathy"" and ""sudden cardiac death"" is baseless. As we explained above, McCullough’s statements about the studies misrepresent their findings or leave out important information that contradicts his claim. In fact, none of the studies found any association between COVID-19 mRNA vaccines and sudden cardiac death or metabolic cardiomyopathy. Other published studies have also found no association between COVID-19 vaccination and sudden death or an increase in all-cause mortality.",sciencefeedback_102_ret_b4_gn,sciencefeedback_102,David Icke,False,False,True,insufficient-neutral,sciencefeedback
