id,claim_id,claim,claimant,evidence,factcheck_verdict,is_gold,relevant,evidence_stance,fc_source
factly_1006,factly_1006,Prime Minister Modi has initiated a grievance portal (CPGRAMS) upon assuming office for the first time,SOCIAL MEDIA POST,"A revised version of CPGRAMS portal meant to address public grievances was launched in June 2007. In fact, the concept of directly accepting petitions to handle public grievances was initiated as early as 2002. Since then, a total of 8972 grievance petitions were received by the DOP&T and most of the issues were resolved before 90 days of filing the petition as of 31 January 2014. Hence, the claim made in the post is FALSE.",False,True,True,refutes,factly
factly_1006_ret_b0_gn,factly_1006,Prime Minister Modi has initiated a grievance portal (CPGRAMS) upon assuming office for the first time,SOCIAL MEDIA POST,"Any Grievance sent by email will not be attended to / entertained. Please lodge your grievance on this portal. Centralised Public Grievance Redress and Monitoring System (CPGRAMS) is an online platform available to the citizens 24x7 to lodge their grievances to the public authorities on any subject related to service delivery. It is a single portal connected to all the Ministries/Departments of Government of India and States. Every Ministry and States have role-based access to this system. CPGRAMS is also accessible to the citizens through standalone mobile application downloadable through Google Play store and mobile application integrated with UMANG. The status of the grievance filed in CPGRAMS can be tracked with the unique registration ID provided at the time of registration of the complainant. CPGRAMS also provides appeal facility to the citizens if they are not satisfied with the resolution by the Grievance Officer. After closure of grievance if the complainant is not satisfied with the resolution, he/she can provide feedback. If the rating is ‘Poor’ the option to file an appeal is enabled. The status of the Appeal can also be tracked by the petitioner with the grievance registration number.",False,False,True,insufficient-supports,factly
factly_1006_ret_b7_gn,factly_1006,Prime Minister Modi has initiated a grievance portal (CPGRAMS) upon assuming office for the first time,SOCIAL MEDIA POST,"IGMS 2.0, implemented by IIT Kanpur, upgrades DARPG’s CPGRAMS portal with AI ""PM Modi has flagged again and again that Grievance Redressal is important for accountability of the Government and also for the Citizen-centric Governance"": Dr Jitendra Singh [...] With a ballooning caseload of problems being raised by the common man and their trust in the timebound redressal of their grievances, close to 20 lakh grievances are received annually on the CPGRAMS portal. In view of the large number of grievances, the classification and monitoring of grievances cannot be done manually. Thus, the IGMS portal will help the DARPG with creation of draft letter for selected scheme/ministry and expedite the grievance redressal process by the concerned ministry/department. Speaking on the occasion, Dr Jitendra Singh, said Prime Minister Shri Narendra Modi has flagged again and again that Grievance Redressal is important for accountability of the Government and also for the Citizen-centric Governance. A more robust human interface mechanism including Counselling post-resolution of the grievance has also been introduced.",False,False,True,supports,factly
factly_1006_ret_bn_g0,factly_1006,Prime Minister Modi has initiated a grievance portal (CPGRAMS) upon assuming office for the first time,SOCIAL MEDIA POST,"A social media post claims that Prime Minister Modi has reportedly initiated a grievance portal upon assuming office, allowing citizens to directly communicate with the Prime Minister’s Office (PMO). The post also includes a video featuring a woman who shares her positive experience of having her issue resolved after lodging a complaint on this portal. Through this article let’s fact-check the claim made in the post. [...] The viral post refers to the Centralized Public Grievance Redress and Monitoring System (CPGRAMS), as the grievance redressal mechanism initiated by PM Modi after assuming office in 2014. [...] To sum it up, the CPGRAMS portal meant to address public grievances was launched much before PM Modi assumed office in 2014.",False,False,True,refutes,factly
factly_101,factly_101,Under the new criminal laws electronic messages can be used as evidence in court.,Social Media User,"Under the new criminal laws, electronic records are designated as primary evidence, whereas under the old laws, electronic evidence was generally regarded as ‘secondary evidence’ unless the device itself was produced in court. There have been numerous instances where courts considered electronic records such as WhatsApp messages as evidence under the old criminal laws. Hence, the claim made in the post is PARTLY TRUE.",Half True,True,True,supports,factly
factly_101_ret_b14_gn,factly_101,Under the new criminal laws electronic messages can be used as evidence in court.,Social Media User,"Introduction to using digital evidence in court cases: In today's digital age, the use of electronic communication has become increasingly prevalent. From social media platforms to instant messaging apps like WhatsApp, people are constantly communicating and sharing information through various digital channels. As a result, the courts have had to adapt to this new form of evidence and determine its admissibility in legal proceedings. Digital evidence refers to any type of information or data that is stored or transmitted electronically and can be used as proof in a court case. This includes text messages, emails, social media posts, GPS location data, and more. Such evidence can play a crucial role in legal cases as it provides concrete proof of conversations or actions that may have taken place. The use of digital evidence has become particularly relevant in criminal cases where it can help establish timelines, corroborate witness statements, and even provide alibis. In civil cases, it can be used to prove agreements between parties or document instances of harassment or discrimination. However, the admissibility of digital evidence in court cases is not always straightforward.",Half True,False,True,insufficient-supports,factly
factly_101_ret_b15_gn,factly_101,Under the new criminal laws electronic messages can be used as evidence in court.,Social Media User,"Electronic evidence can be used against a person in a court of law. The main purpose of electronic evidence is to help to prove a person’s guilt or innocence in a court of law. [...] Text messages: Text messages are an example of electronic evidence. They can be used to prove that you were in contact with someone and details of your communication in line with the matter in issue. [...] Electronic evidence evidence can be used in court cases to prove or disprove that a certain event happened. It is usually considered more reliable than other forms of evidence, such as physical evidence. However, there are some issues with electronic evidence. For example, it can be destroyed or modified by the defendant. It may also be difficult to find the defendant’s original data.",Half True,False,True,supports,factly
factly_101_ret_b19_gn,factly_101,Under the new criminal laws electronic messages can be used as evidence in court.,Social Media User,"The criminalization of certain electronic communication under the BNS is supplemented by the BSA recognizing electronic records like emails, voicemails, location data, etc. as evidence. Under the erstwhile Evidence Act, the acceptable formats of electronic evidence were restricted to paper, optical, or magnetic forms such as CD ROMs. The BSA has now included semiconductor memory like SD cards as a format of electronic evidence and communication devices as a source of electronic records.[3] Consequently, messages, chats, or voice recordings on mobile phones can be produced before courts as evidence. The BSA has not only expanded the sources of electronic evidence but has also enhanced its significance. Previously the Evidence Act classified electronic records only as secondary evidence. If an original document, considered primary evidence, is unavailable, secondary evidence such as copies or descriptions can be presented to the court with its prior approval. Section 57 of the BNS now classifies electronic records as primary evidence and Section 61 declares that they have the same value as physical documents.",Half True,False,True,supports,factly
factly_101_ret_b3_gn,factly_101,Under the new criminal laws electronic messages can be used as evidence in court.,Social Media User,"Like social media posts and other forms of digital communication, text messages can be used as evidence in court and can be instrumental in the outcome of both criminal and civil cases. [...] Text messages can be used to prove wrongdoing or support a defense position in a wide variety of court cases, ranging from family law matters like divorce and child custody to personal injury lawsuits to criminal trials. [...] In the wake of the Supreme Court ruling in June to overturn Roe v. Wade, concerns are on the rise about the potential use of text messages, location data, and other digital information to punish people who discuss or search for information about access to abortion services. In the past, text messages have been used as evidence on a number of occasions against women facing criminal charges related to the end of their pregnancies.",Half True,False,True,insufficient-supports,factly
factly_1024_ret_b11_gn,factly_1024,"In Britain, the country which ruled India for 200 years, Modi was the head of the meeting which was attended by the heads of 53 countries.",FACEBOOK POST,"British Rule or British Raj in India refers to the period of British colonialism in the Indian subcontinent. The British crown has direct control over India. They ruled from the mid-18th century until India gained independence in 1947. The rise of British power in India started in 1757 and they ruled for 200 years till 1947. The rule is known as colonialism. British rule is known for economic exploitation, political oppression, and cultural imperialism. [...] The impact of British rule in India was very deep and far-reaching. It has impacted every aspect of Indian society and culture. Let us look at the impact of British Rule in India for IAS exam. [...] We hope all your doubts related to the topic of ""British Rule in India"" are addressed after going through this article. Testbook provides comprehensive notes for Civil services and various other competitive examinations. It has always assured the quality of its product like content pages, live tests, GK and current affairs, mocks, and so on. Ace your UPSC preparation with Testbook. Download the Testbook App now!",False,False,True,insufficient-supports,factly
