claim,ground_truth
"“vitamin d3 is radiated sheep’s wool mixed with chloroform”, “vitamin d3 is rat poison !!”, “d levels are low because of lack of light and high vitamin a diets.”",False
"“there is a huge boom in cancer, especially in female breast cancer in the younger ages of 45 and below.”",False
5g at 60 ghz “stops the human body and blood absorbing oxygen”; this is what doctors are describing in covid-19 cases,False
"raw manuka honey kills every bacteria scientists throw at it, including antibiotic-resistant superbugs",True
"“sunscreen and then skin cancer, it's a direct correlation”; wearing sunglasses increases the risk of sunburn; sunscreen reduces vitamin d production",False
“new study links pfizer’s covid vaccine to ‘turbo cancer’”,False
"covid-19 is caused by snake venom, not a virus; snake venom is in the covid-19 vaccines and causes miscarriage",False
"“the unvaccinated amish rarely get cancer, autism, or heart disease.”",False
study shows myocarditis from covid-19 vaccination carries serious risk of death,False
vaccine killed 3.5x more americans than covid virus,False
“mask study published by nih suggests n95 covid masks may expose wearers to dangerous level of toxic compounds linked to seizures and cancer”,False
pfizer documents confirm that mrna covid-19 vaccinations contain graphene oxide,False
"“covid vaccines were never safe for pregnant women, pfizer’s own data show”",False
red bull contain cocaine and buprenorphine,False
the pandemic was planned; respiratory illness surge in new york and china isn’t airborne but due to chlorine and benzene in food and water,False
new england journal of medicine “proves” 80% miscarriage rate among vaccinated women; covid-19 vaccines harm men’s and women’s fertility,False
queensland health researchers find that long covid doesn’t exist,False
the cdc found a 236% increased risk of autism in african-american boys associated with the mmr vaccine,False
“no discernible benefit of covid-19 vaccination in pregnancy”; “higher rate of neonatal and all-cause readmissions among babies born to vaccinated mothers”,False
“…a virus is not the cause of an illness. it’s a necessary cause […] but it is not the cause.”,True
"each of these ingredients [thimerosal, ovalbumin, formaldehyde, sodium deoxycholate] is a known neurotoxin",False
vitamin k shots are dangerous because of toxic levels of aluminum; hepatitis b vaccines contain toxic ingredients,False
alzheimer’s disease is a “physician-caused disease” that arises due to nutritional deficiencies,False
covid-19 vaccines can be sexually transmitted to unvaccinated people; vaccines cause blood discoloration and weaken immune system,False
aluminum in vaccines causes neurological damage and autism,False
"childhood vaccines contain “mixed up toxins” including formaldehyde, aluminum, aborted fetal dna, fetal bovine serum, monkey kidney cells, mercury, pig circoviruses",False
"salt and corn gluten meal are used to kill mice, they are hazardous to humans",False
"""autopsies performed by the italian pathologists [have] shown that [covid-19] is not pneumonia but it is disseminated intravascular coagulation""",False
blank covid-19 vaccine safety inserts show there are no safety and effectiveness studies for these vaccines,False
moderna was already producing covid-19 vaccines before the beginning of the pandemic,False
babies under six months shouldn’t drink water as it can result in health risks,True
covid-19 vaccines cause leprosy,False
“most of the victims of the spanish flu didn’t die from the spanish flu. they died from bacterial pneumonia. and the bacterial pneumonia was caused by [...] wearing masks”,False
abortion is never medically necessary,False
"the who declaration of a public health emergency is a scheme to use vaccines “stocked up in warehouses”; bird flu, parvovirus b19, and monkeypox are “rebranding” of the same virus",False
coronavirus contains 'hiv insertions',False
a public information film on the coronavirus was released in the 1970s,False
"“fauci frankensteined covid bats on our soil a year before the pandemic, but then acted all shocked when the virus started spreading” ; fauci’s goons went to the wuhan lab, bottled up a virus and brought it to a lab in america”",False
"“the covid vaccines have killed millions of people worldwide, an estimated 1 death per 1,000 doses on average in a standard population”",False
unapproved genetically modified organisms in the covid-19 mrna vaccines could permanently change our dna,False
"covid-19 mrna vaccines aren’t vaccines, according to court ruling",False
vaccines contain unhealthy levels of aluminum; japan’s elimination of vaccines has reduced infant mortality,False
"a “zapper” can kill parasites, bacteria, and viruses; it cures all diseases",False
"“an accurate reporting by pfizer would have shown equal numbers of clinical trial deaths in the vaccine and placebo groups and thus, no benefit of vaccination”",False
"vaccines have caused an ""explosion"" of childhood cancer; vaccine package insert states vaccines weren’t tested for mutagenic effect",False
"recent study shows how sunscreen causes cancer, not the sun",False
"countries that sign pandemic treaty cede their sovereignty to the who, allowing who to control domestic policies, force vaccination, lockdowns, and arrest of vaccine opponents",False
“the greatest trick the cdc ever pulled was convincing the world you can be sick without having symptoms”,False
"""cat parasite"" causes toxoplasmosis; toxoplasmosis increases ghrelin hormone levels",True
hpv vaccine increases the risk of developing cervical cancer,False
“99.2% of u.s. covid deaths in june were unvaccinated people”,True
"sweetgum balls contain the same active ingredient that tamiflu contains, which is shikimic acid; it kills viruses including sars-cov-2",False
switzerland stops covid-19 vaccines due to safety concerns,False
“myocarditis and pericarditis only occur after vaccination and not after covid-19 infection.”,False
covid-19 vaccination of pregnant women is connected to an increase in u.s. infant mortality rate in 2022,False
vitamin b17 “was banned by the us because of its cancer-killing properties”,False
"“since the vaccine rolled out, [a midwife]’s seen no normal placenta […] they’re all compromised”",False
“msm silent as court holds pcr covid tests 97% inaccurate - unfit for purpose”,False
"hpv vaccines are ineffective and cause side effects including autoimmune and neurological disorders, based on vaers reports",False
poppers are the cause of kaposi’s sarcoma,False
blocks of color printed on toothpaste tubes indicate whether the toothpaste is made of safe ingredients,False
nicotine patches can cure parkinson’s disease,False
"“americans are dropping dead” from covid-19 vaccines; vaccines impair fertility, pregnancy, infant survival",False
“no one has died of cancer or heart disease since the covid-19 thing started”,False
"viruses don’t exist, terrain theory explains why diseases occur",False
mammograms don’t prevent cancer; mammograms contribute to cancer development,False
"“official cdc data: 143,233% surge in fatal cancers among vaxxed americans”",False
"zero amish children diagnosed with cancer, diabetes or autism; amish children are largely unvaccinated; covid death rates among amish communities are 90 times lower than for the rest of america",False
doctors are ‘injecting poison’ into babies every two months.,False
covid-19 vaccines are “an unqualified disaster”; they didn’t “[halt] viral spread” and they caused “high morbidity and mortality rates”,False
[it] is nearly impossible to categorize post-vaccine deaths as vaccine-related,False
“secret cdc report confirms nearly 120k youngsters 'died suddenly' in the usa by oct. 2022 following roll-out of covid vaccines”,False
"ventilators, not covid, killed hospitalized covid patients",False
“those who have been fully vaccinated for covid-19 with mrna shots will lose 25 years of their life”,False
“for every one person who dies: 19 more require hospitalization; 18 of those will have permanent heart damage for the rest of their lives”,True
toxic vaccine ingredients in the mmr vaccine cause encephalopathy,False
the ph for the coronavirus varies from 5.5 to 8.5. what we need to do to defeat the coronavirus is to consume more alkaline foods above the virus’ ph level.,False
“all these vaccines are causing harm to our kids”; “the fully unvaccinated kids are always healthier”; “vaccines are causing chronic disease in america”,False
the way urine reacts to salt is a test for pregnancy,False
placing raw onion on the bottom of the feet eliminates illness,False
“dissolution of spike protein by nattokinase: holy grail of covid-19 vaccine detoxification”; long covid is caused by persistent spike protein in the body,False
measles vaccine caused samoa measles outbreak,False
the dtap vaccine causes sids,False
covid-19 vaccines increase the risk of miscarriages and stillbirths,False
doctors murdered to protect big pharma profits and silence holistic health practitioners,False
“the government has released their initial plans to force a vaccine on everyone”; “three potential vaccines are currently in stage 3 trials in the united states and could be ready in weeks”,False
health authorities like the world health organization and the u.s. centers for disease control and prevention discourage people from wearing face masks,False
the measles outbreak is directly caused by illegal immigration,False
birthmarks are indicators of the mthfr gene; “when people have mthfr their chances of vaccine reactions increase because they cannot detox the toxins from the vaccines”,False
fungi are the cause of cancer,False
“new medicine normalizes blood sugar levels after the first use”,False
"whooping cough vaccine was never necessary, dtap vaccine is linked to sudden infant death syndrome",False
“buy yourselves charcoal activated tablets […] it will counteract most date rape drugs”,False
"covid-19 mrna vaccines are experimental, “ineffective and harmful”",False
there are no fda-approved covid-19 vaccines on the u.s market as of may 2023,False
"patent us5676977a is for aids, patent us8835624b1 is for h1n1, patents us7897744b2 and us8506968b2 are for sars",False
vaers data are “crystal clear”: “the covid vaccines are killing people”,False
2019 novel coronavirus contains 'pshuttle-sn' sequence proving laboratory origin,False
bill gates-funded company released genetically modified mosquitoes in the u.s. and caused a malaria outbreak,False
this coronavirus genome contained sequences of another virus […] the hiv virus (aids virus),False
flu shots spread the flu,False
a [group] of people is injecting fruits with blood containing hiv and aids,False
"a soup made of garlic, onions, thyme, and lemon can replace the flu shot and cure other illnesses such as the common cold and norovirus",False
the spike protein induced by covid-19 vaccines is toxic and causes diseases and deaths; nattokinase can counter these effects,False
"global covid vaccine safety study shows that covid-19 vaccines are dangerous, inadequately tested; getting vaccinated is more dangerous than getting covid-19",False
“salt does not raise blood pressure”,False
there are no studies that prove vaccines don’t cause autism,False
“coronavirus quickly spread around the world as early as october 2019”,True
masks do nothing to prevent the spread of pathogens,False
aids was cured in more than a dozen patients,False
sweden bans mandatory vaccinations over 'serious heath [sic] concerns',False
"vaccines, mthfr mutation, and glyphosate lead to autism in children with brain injury",False
u.s. deaths from covid-19 hit 1 million,True
“autism is nothing more than mercury toxicity“; vaccine ingredients are toxic,False
"study in italy shows nearly 1 in 3 covid vaccine recipients have neurological side effects, indicating an “unacceptable” safety profile",False
adhd is a fake disease invented by big pharma to drug children for profit,False
“no childhood vaccine has ever been through a double blind placebo controlled trial.”,False
"thai princess “most likely a victim of the jab”, thailand “could become the first country in the world to nullify the contract between the government and pfizer”",False
you have a 0.03[%] chance of dying from [covid-19] in the state of california. [...] it’s similar to the flu.,False
"“there is a cure to every d!isease”; herbs can cure cancer, diabetes, alzheimer’s",False
pfizer admits that vaccinated people can shed the vaccine on unvaccinated people,False
more people are dying now than at the peak of the pandemic; the covid-19 vaccines are the cause of the excess deaths seen in late 2022,False
chemtrails contain toxic substances such as barium salts that are 10 thousand times more toxic to your nervous system than lead,False
unvaccinated children pose no threat to anyone,False
sugar causes cancer; eliminating sugar from the diet can cure cancer,False
covid-19 vaccine mrna cannot be broken down; covid-19 vaccines cause excess death and unprecedented blood clots,False
covid-19 vaccines are “experimental poison”; covid has gone away,False
"“sars is the research developed by humans, weaponizing a life system model to actually attack human beings”",False
colloidal silver is effective for any infection,False
bones “are not made of calcium”; wild yam is a treatment for osteoporosis,False
every election year has a disease; coronavirus has a contagion factor of 2,False
"marijuana is non-addictive, cures cancer, and grows brain cells",False
published studies show that covid-19 mrna vaccines cause metabolic cardiomyopathy and sudden cardiac death,False
there is nothing wrong with the thyroid in patients with hashimoto’s disease; vitamin b is a cure for hashimoto’s disease,False
a study showed a “weakened immune response in kids injected with pfizer’s covid-19 shot”; “the mrna covid jabs damage immune responses to other viruses in children”,False
hpv vaccine may lead to elimination of cervical cancer,True
covid-19 rna vaccines weren’t made with messenger rna; vaccine rna cannot be broken down in the body,False
drinking bottled water with an acidic ph is bad for your health,False
highly infectious hiv 'vb' variant makes people ill twice as quickly,True
"per fda guidelines, babies are too small to safely handle the amount of aluminum in childhood vaccines",False
[sars-cov-2] is spreading quickly from gas pumps. shopping carts as well.,True
"if the tongue is 'crooked', if it goes to one side or the other that is also an indication of a stroke.",True
apeel contains harmful ingredients,False
"vitamins c and d are now finally being adopted in the conventional treatment of sars-cov-2; vitamin c at extremely high doses acts as an antiviral drug, actually killing viruses; vitamin d helps the body fight sars-cov-2 infection and can cut infection risk.",True
“5g plays a part in this ‘plandemic’” ... the cases of covid-19 are “directly related to electromagnetic radiation exposure by 5g”,False
cdc admits 98 million americans received polio vaccine in an 8-year span when it was contaminated with cancer virus,True
“charcoal absorbs and neutralizes poisons”; charcoal can treat diarrhea and bloating,True
"covid-19 vaccines contain proteins from hiv; “if you have taken the third dose, go and take a test for aids, then sue your government”",False
“bill gates explains that the covid vaccine will use experimental technology and permanently alter your dna”,False
