id,claim_id,claim,claimant,evidence,factcheck_verdict,is_gold,relevant,evidence_stance,fc_source
factcheckni_1,factcheckni_1,Public spending in Northern Ireland is 45% higher than it is in Ireland.,University of Liverpool,"Using public expenditure as a measure of public spending, total public expenditure per person in Northern Ireland in 2015–16 was 10% higher than in Ireland. More recently, it was near par with Ireland. As a part of national output (GDP), government consumption contributed an estimated 45% more, per person, in Northern Ireland than it did in Ireland. But government consumption excludes aspects of spending, like investment in roads and social welfare.",False,True,True,insufficient-supports,factcheckni
factcheckni_1_ret_b10_gn,factcheckni_1,Public spending in Northern Ireland is 45% higher than it is in Ireland.,University of Liverpool,"Even using the modified measure of national income (GNI ), the differential remains significant. Expressed per head, GNI is more than 10% higher than GDP per head in the UK and roughly 45% higher than GDP per head in NI. [...] Looking again at the public sector, is government spending in this area indeed a key differential? Certainly the public sector is a bigger proportion of the economy in NI than in the Republic. Some 24% of Irish employment is in public administration, health and education and in NI the figure is almost 30%. A differential, but perhaps less pronounced than many expect. Spending comparisons are rather tricky due to a range of definitional issues. For example, Ireland incurs spending on national debt and central services (like the Treasury) which NI does not. But taking a subset of public services, namely education, health, justice, social protection (including benefits and pensions) agriculture and transport; spending is actually very similar on a per head basis at current exchange rates.",False,False,True,insufficient-neutral,factcheckni
factcheckni_1_ret_b15_gn,factcheckni_1,Public spending in Northern Ireland is 45% higher than it is in Ireland.,University of Liverpool,"- Bill 1: Provisions included within Northern Ireland Budget (Anticipation and Adjustments) Bill 2017-19 that seek to ensure funding is available to the NI Civil Service for the remainder of 2017-18 and for the start of 2018-19 (45% of allocated funding), and thereby continue public service delivery in NI. But as the House of Commons Library Briefing Paper about the Bill states, the Bill ‘…does not constitute the setting of a budget for the Northern Ireland Assembly’. [...] Health Spending accounted for 48.2% of NI’s day-to-day spending in the 2017-18 baseline. The NI DoH Allocation of £5,306.2 million for 2018-19 represents 49.2% of the total NI Allocations – an increase of one percentage point. All other things being equal, it appears from the current proposals and the prior trend that Health will consume more than half of NI’s day-to-day spending from 2019 onwards. Education Spending accounted for 17.8% of NI’s day-to-day spending in the 2017-18 baseline. The NI DE Allocation of £1,859.4 million for 2018-19 represents 18.0% of the total proposed NI Allocations – an increase of one fifth of a percentage point compared to the baseline. In other words, there is only a very marginal increase in the relative priority afforded to DE as a proportion of the total funding allocated by the Secretary of State in her proposals.",False,False,True,insufficient-neutral,factcheckni
factcheckni_101_ret_b14_gn,factcheckni_101,Face coverings/masks became “mandatory” in shops in Northern Ireland as of 1 August 2020.,Kellie Armstrong,"- ^ a b ""Face masks could be mandatory in shops by 20 August"". BBC News. 23 July 2020. [...] - ^ ""NI public told to wear masks in shops"". BBC News. 6 August 2020. [...] - ^ McCormack, Jayne (10 August 2020). ""Face coverings now compulsory for NI shoppers"". BBC News.",False,False,True,insufficient-supports,factcheckni
factcheckni_101_ret_b5_gn,factcheckni_101,Face coverings/masks became “mandatory” in shops in Northern Ireland as of 1 August 2020.,Kellie Armstrong,"Health Minister Robin Swann has welcomed the Northern Ireland Executive’s decision to make the wearing of face coverings mandatory in shops. Health Minister Robin Swann has welcomed the NI Executive decision on face coverings. [...] ""This is particularly important in light of the fact that shielding is due to be paused from July 31. As people who have been shielding start resuming everyday activities, the wearing of face coverings in shops is a practical way to reassure them and help them keep safe.",False,False,True,insufficient-supports,factcheckni
factcheckni_102_ret_b12_gn,factcheckni_102,The Department of Health (England) needs the consent of families to release information of deceased relatives.,Nick Watt,"Guide to the legal framework that health professionals need to take account of in obtaining valid consent to examination, treatment or care. [...] Since 2001, the Department of Health guidance on consent has required NHS Trusts to adopt a model consent policy, model forms and information leaflets with the aim of ensuring that good practice in seeking consent was put in place throughout the NHS. The department has been considering the future role of its guidance and has been undertaking a review of consent in the NHS which will not only identify and evaluate the NHS approach to, and practice on, gaining consent but which will also evaluate the impact on practice of existing Department of Health guidance and forms. [...] As part of our review, we will evaluate the impact on practice of the Department of Health consent forms and consider the best approach to promoting quality consent processes (including documentation) in the future. In the interim, trusts are free to develop their own documentation, including their consent forms (using the DH model form if they so wish), to reflect the current legal position and reflect local practice as appropriate. These documents include some advice on how legal terminology has evolved since the forms were produced, which may help in this regard.",False,False,True,insufficient-neutral,factcheckni
factcheckni_102_ret_b7_gn,factcheckni_102,The Department of Health (England) needs the consent of families to release information of deceased relatives.,Nick Watt,"- Access to records of deceased people: People may request access to the records of someone who has died, for example a family member. See the NHS Transformation Directorate guidance on Access to the health and care records of deceased people and Primary Care Support England also has guidance on their website about Accessing Medical Records. [...] Data protection laws do not apply to deceased people, but the common law duty of confidentiality does apply. For more information, please see NHS England’s Transformation Directorate guidance on access to the health and care records of deceased people. [...] For more information, please see the guidance on consent and confidential patient information, sharing information with confidence and the article in these Guidelines on consent to using and sharing patient information.",False,False,True,insufficient-neutral,factcheckni
factcheckni_102_ret_bn_g1,factcheckni_102,The Department of Health (England) needs the consent of families to release information of deceased relatives.,Nick Watt,"- if you are aware of any wishes (written or verbal) of the deceased individual relating to their information being shared - if there is anything in the record which would either cause distress to the family or benefit them to know - if there is any third party information in the record; for example, information about other family members - if there is anything in the record which if disclosed might cause harm to another person - to explain any clinical abbreviations or terminology in the record, to help the person who has asked for a copy of the record understand it [...] Where confidential information about a deceased person is required for a purpose beyond individual care, such as research, service evaluation or national clinical audit, the requester should obtain approval from the Health Research Authority, under section 251 of the NHS Act 2006. [...] You will also need to consider the likelihood of information sharing being of benefit to the family of the deceased; for example, sharing certain information could reduce the emotional or mental harm experienced by grieving relatives. For example, where a person died of COVID-19 and their relatives were unable to visit them because of the infection control measures in place; or where a parent asks for information about the circumstances and causes of their child's death.",False,False,True,insufficient-neutral,factcheckni
factcheckni_102_ret_bn_g7,factcheckni_102,The Department of Health (England) needs the consent of families to release information of deceased relatives.,Nick Watt,"135. There are circumstances in which you must disclose relevant information about a patient who has died. For example: [...] 138. Archived records relating to deceased patients remain subject to a duty of confidentiality, although the potential for disclosing information about, or causing distress to, surviving relatives or damaging the public's trust will diminish over time. [...] Usually, if an individual who is known to the deceased is requesting information in relation to the circumstances surrounding the death, it will be appropriate to rely on the above GMC guidance.",False,False,True,insufficient-neutral,factcheckni
factcheckni_104,factcheckni_104,41% of those living with HIV in Northern Ireland are heterosexual.,Paula Bradley,"The claim is accurate. Furthermore, Northern Ireland has observed the fastest growth in diagnoses over the past 10 years, when compared to the average both in Ireland and in the United Kingdom.",True,True,True,supports,factcheckni
