id,claim_id,claim,claimant,evidence,factcheck_verdict,is_gold,relevant,evidence_stance,fc_source
healthfeedback_749,healthfeedback_749,Blood pressure tracking apps can replace a cuff,Facebook User,"Misleading: Despite its claims, the blood pressure app promoted in the Facebook post doesn’t actually measure blood pressure, but allows users to track blood pressure measurements taken with a conventional blood pressure measuring cuff. Unlike the app, blood pressure measuring cuffs are considered medical devices that are subject to oversight by bodies like the U.S. Food and Drug Administration and European Commission to ensure they produce accurate results.",False,True,True,refutes,healthfeedback
healthfeedback_749_ret_b0_gn,healthfeedback_749,Blood pressure tracking apps can replace a cuff,Facebook User,"A new app to 'uncuff' blood pressure monitoring [...] - Researchers have developed a groundbreaking smartphone app that measures blood pressure using a smartphone's built-in sensors, eliminating the need for traditional cuffs. This technology can make blood pressure monitoring more accessible and convenient, especially for underserved populations. By allowing users to measure their blood pressure anytime and anywhere, the app could revolutionize cardiovascular care and improve early detection of hypertension. [...] ""This app would be really useful in low-income settings where people may not even have existing access to blood pressure tools."" Dhamotharan said. ""Being able to measure blood pressure more frequently would allow an individual to track any significant changes in blood pressure, monitor for hypertension, and be able to manage their conditions with that knowledge.""",False,False,True,supports,healthfeedback
healthfeedback_749_ret_b3_gn,healthfeedback_749,Blood pressure tracking apps can replace a cuff,Facebook User,"CES 2019: Scientists have developed a blood pressure monitoring app to replace the 100-year-old cuff [...] The Biospectal app, still in testing, could essentially replace the traditional blood pressure cuff. [...] The Biospectal health app wants to replace the blood pressure cuff by letting users take a scientific measurement by putting their finger on their smartphone camera.",False,False,True,insufficient-supports,healthfeedback
healthfeedback_749_ret_bn_g1,healthfeedback_749,Blood pressure tracking apps can replace a cuff,Facebook User,"FULL CLAIM: Blood pressure tracking apps can replace a cuff [...] A widely-shared Facebook post featured a video of someone dressed as a doctor pushing aside a blood pressure cuff and giving it a thumbs down, before holding her finger to the camera of an iPhone with an app appearing to display live measurements of her heart rate, blood pressure, blood oxygen, and temperature. The post encouraged viewers to download the app Blood Pressure-Monitor Tracker. [...] Despite the way it was shown in the promotional Facebook post, there is no indication that the app is able to to measure blood pressure. Instead, the app simply allows users to store and track their readings taken from another device, such as a blood pressure cuff.",False,False,True,refutes,healthfeedback
healthfeedback_751,healthfeedback_751,"Autism and vaccination decreased over the same time period among high-income white households from California, indicating a possible causal relationship",Toby Rogers,Incorrect: The claim’s implication that reducing childhood vaccination is causally related to a fall in autism prevalence contradicts the wealth of studies that have shown vaccines don’t cause autism. Inadequate support: The claim didn’t provide data showing a decline in vaccination among high-income white families of California. The scientific study cited as supporting evidence in the claim doesn’t contain data related to vaccine coverage either.,False,True,True,refutes,healthfeedback
healthfeedback_751_ret_b2_gn,healthfeedback_751,"Autism and vaccination decreased over the same time period among high-income white households from California, indicating a possible causal relationship",Toby Rogers,"The reason for the rapid rise of autism in the United States that began in the 1990s is a mystery. Although individuals probably have a genetic predisposition to develop autism, researchers suspect that one or more environmental triggers are also needed. One of those triggers might be the battery of vaccinations that young children receive. Using regression analysis and controlling for family income and ethnicity, the relationship between the proportion of children who received the recommended vaccines by age 2 years and the prevalence of autism (AUT) or speech or language impairment (SLI) in each U.S. state from 2001 and 2007 was determined. A positive and statistically significant relationship was found: The higher the proportion of children receiving recommended vaccinations, the higher was the prevalence of AUT or SLI. A 1% increase in vaccination was associated with an additional 680 children having AUT or SLI. Neither parental behavior nor access to care affected the results, since vaccination proportions were not significantly related (statistically) to any other disability or to the number of pediatricians in a U.S. state. The results suggest that although mercury has been removed from many vaccines, other culprits may link vaccines to autism.",False,False,True,insufficient-neutral,healthfeedback
healthfeedback_751_ret_bn_g0,healthfeedback_751,"Autism and vaccination decreased over the same time period among high-income white households from California, indicating a possible causal relationship",Toby Rogers,"Rogers’ claim hinges on his statement that vaccine coverage in high-income white people from California decreased over the years since 2000, and that at the same time, ASD prevalence decreased in the same population. But as we explained above, the study by Nevison and Parker, didn’t provide data on vaccine coverage. Rogers didn’t provide such data either. We reached out to Rogers to ask for it. In his reply to our email, Rogers claimed Science Feedback was among ""Stasi narrative check organizations"", but provided no evidence to support his claim that vaccine coverage had declined in high-income white households in California. [...] In summary, Rogers’ claim that the level of childhood vaccination among high-income white families in California led to lower rates of ASD is unsubstantiated. Country-level data also doesn’t support the hypothesis of a nationwide decline in vaccination among high-income white families. Roger’s implication about a causal link between a decrease in vaccine coverage and a decline in ASD prevalence is unsubstantiated. The Nevison and Parker study used as supporting evidence did report that the prevalence of ASD declined among white families from richer California counties. However, the study didn’t include data on vaccine coverage and didn’t establish an association with vaccination. Rogers didn’t provide any other data on vaccine coverage either.",False,False,True,refutes,healthfeedback
healthfeedback_751_ret_bn_g10,healthfeedback_751,"Autism and vaccination decreased over the same time period among high-income white households from California, indicating a possible causal relationship",Toby Rogers,"In California, statewide legislative and educational interventions were associated with a decrease in the yearly rates of kindergartners without up-to-date vaccination status. These interventions also were associated with reductions in the number of schools inside the clusters with high rates of kindergartners without up-to-date vaccination status and the potential for contact among these kindergartners. [...] California implemented Senate Bill 277 (SB277) in 2016, becoming the first state in nearly 30 years to eliminate nonmedical exemptions from immunization requirements for schoolchildren. Our objectives were to determine (1) the impacts of SB277 on the percentage of kindergarteners entering school not up-to-date on vaccinations and (2) if geographic patterns of vaccine refusal persisted after the implementation of the new law. At the state level, we analyzed the magnitude and composition of the population of kindergarteners not up-to-date on vaccinations before and after the implementation of SB277. We assessed correlations between previous geographic patterns of nonmedical exemptions and patterns of the remaining entry mechanisms for kindergarteners not up-to-date after the law’s implementation. In the first year after SB277 was implemented, the percentage of kindergartners entering school not up-to-date on vaccinations decreased from 7.15% to 4.42%. The conditional entrance rate fell from 4.43% to 1.91%, accounting for much of this decrease. Other entry mechanisms for students not up-to-date, including medical exemptions and exemptions for independent study or homeschooled students, largely replaced the decrease in the personal belief exemption rate from 2.37% to 0.56%.",False,False,True,insufficient-neutral,healthfeedback
healthfeedback_751_ret_bn_g3,healthfeedback_751,"Autism and vaccination decreased over the same time period among high-income white households from California, indicating a possible causal relationship",Toby Rogers,"Incorrect Health Posted on: 2024-10-03 Decline in autism among high-income white households not caused by a decrease in childhood vaccination, vaccines don’t cause autism Claim: Autism and vaccination decreased over the same time period among high-income white households from California, indicating a possible causal relationship Source: Children's Health Defense, Toby Rogers, 2024-08-08",False,False,True,refutes,healthfeedback
healthfeedback_755,healthfeedback_755,Peanut allergies are caused by the peanut oil in vaccines,Matt Roeske,"Factually inaccurate: Peanut oil isn’t an ingredient in vaccines. Risk factors for peanut allergies are unclear, but are commonly linked to age, genetics, and history of other allergies—not consumption of peanut oil. Misleading: Peanut allergies and peanut oil allergies aren’t one in the same. Some people with peanut allergies may safely consume peanut oil, particularly if it’s the highly-refined variety used in cooking and frying. While peanut oil was used as a vaccine adjuvant ingredient in a clinical trial for an influenza vaccine in the 1960s, this vaccine wasn't approved for public use.",False,True,True,refutes,healthfeedback
