id,claim_id,claim,claimant,evidence,factcheck_verdict,is_gold,relevant,evidence_stance,fc_source
politifact_1,politifact_1,"Former President Donald Trump ""intends to enact what, in effect, is a national sales tax ... that would raise prices on middle-class families by almost $4,000 a year.""",Kamala Harris,"During his 2024 presidential campaign, former President Donald Trump has repeatedly proposed wide-ranging tariffs on imported goods. The specific projected dollar impact on consumers varies. Two estimates we found broadly support Harris’ $4,000 figure; two others show a smaller — though still significant — impact.",Half True,True,True,insufficient-supports,politifact
politifact_1_ret_b10_gn,politifact_1,"Former President Donald Trump ""intends to enact what, in effect, is a national sales tax ... that would raise prices on middle-class families by almost $4,000 a year.""",Kamala Harris,"• That said, Trump did implement several key promises, including installing conservative judges, levying tariffs, moving the U.S. embassy in Israel to Jerusalem, and pulling out of the Paris climate accord. [...] Raise tariffs on goods imported into the U.S. [...] PolitiFact, Trump-O-Meter index page, accessed Jan. 19, 2021",Half True,False,True,insufficient-neutral,politifact
politifact_1_ret_b15_gn,politifact_1,"Former President Donald Trump ""intends to enact what, in effect, is a national sales tax ... that would raise prices on middle-class families by almost $4,000 a year.""",Kamala Harris,"As he’s campaigned to win back the White House, former President Donald Trump has made a lot of big promises. [...] He would pursue an aggressive trade policy, this time including a 10% tariff on foreign goods. Critics have said this would spike inflation after Trump has hammered Biden over elevated prices. Trump said he would also prevent U.S. investments in Chinese companies; Trump has often singled out China as an economic adversary. [...] Supporters of former President Donald Trump try to break through a police barrier, Jan. 6, 2021, at the Capitol in Washington. (AP)",Half True,False,True,insufficient-neutral,politifact
politifact_1_ret_bn_g17,politifact_1,"Former President Donald Trump ""intends to enact what, in effect, is a national sales tax ... that would raise prices on middle-class families by almost $4,000 a year.""",Kamala Harris,"CLAIM: Harris said Trump ""intends to enact what, in effect, is a national sales tax— call it a Trump tax — that would raise prices on middle-class families by almost $4,000 a year."" - This figure comes from an estimate by the progressive Center for American Progress Action Fund, which calculated the cost of proposed tariffs on imported goods. The analysis is dense. The CAP Action Fund went through the goods the U.S. Census says we're projected to import in 2025, then calculated what the tariff on them would be and divided that by the number of American households. That figure was then adjusted for government estimates on how much middle-income households spend overall relative to other consumers. The left-leaning group projects this will hit lower- and middle-income households harder, since they spend a larger percentage of their income on goods than high-income households do. [...] ""At the end of the day this is all about the will of the people,"" Trump added. ""You must follow your heart or — in many cases — your religion, or your faith. Do what's right for your family. Do what's right for yourself. Do what's right for your children. Do what's right for our country and vote, so important to vote.",Half True,False,True,insufficient-supports,politifact
politifact_1_ret_bn_g9,politifact_1,"Former President Donald Trump ""intends to enact what, in effect, is a national sales tax ... that would raise prices on middle-class families by almost $4,000 a year.""",Kamala Harris,"Harris said Trump ""intends to enact what in effect is a national sales tax -call it a Trump tax - that would raise prices on middle class families by almost $4,000 a year."" Trump has said that he would propose a 10% tariff on all non-domestic goods sold in the U.S. While tariffs are levied separately from taxes, economists say that much of their impact would be passed along to consumers, making them analogous to a tax. [...] The American Action Forum, a center-right think tank, has projected additional costs per household of $1,700 to $2,350 annually. The Peterson Institute of International Economics, another Washington, D.C.-based think tank, projected that such tariffs would cost a middle-income household about $1,700 extra each year.",Half True,False,True,insufficient-supports,politifact
politifact_100,politifact_100,Former President Donald Trump is “against mail in voting.”,Pennsylvania Values,"Former President Donald Trump frequently spoke negatively, and sometimes falsely, about voting by mail in 2020. He called the practice ""corrupt"" at a February 2024 rally in Michigan. This year, he has said his goal is ""one-day voting."" But he has also told voters that voting by mail is a good option. In June, Trump said ""whether you vote early, absentee, by mail, or in person we are going to protect the vote.""",Half True,True,True,supports,politifact
politifact_100_ret_bn_g0,politifact_100,Former President Donald Trump is “against mail in voting.”,Pennsylvania Values,"By — Nicholas Riccardi, Associated Press Nicholas Riccardi, Associated Press By — Margery A. Beck, Associated Press Margery A. Beck, Associated Press Leave your feedback Share Copy URL https://www.pbs.org/newshour/politics/trump-changes-tone-on-mail-in-ballots-and-other-forms-of-early-voting Email Facebook Twitter LinkedIn Pinterest Tumblr Share on Facebook Share on Twitter Trump changes tone on mail-in ballots and other forms of early voting Politics May 17, 2024 5:40 PM EDT Marta Moehring voted the way she prefers in Nebraska’s Republican primary Tuesday — in person, at her west Omaha polling place. She didn’t even consider taking advantage of the state’s no-excuse mail-in ballot process. In fact, she would prefer to do away with mail-in voting altogether. She’s convinced fraudulent mailed ballots cost former President Donald Trump a second term in 2020. ""I don’t trust it in general,"" Moehring, 62, said. ""I don’t think they’re counted correctly."" WATCH: Why Trump’s statements on mail-in ballots, election results are ‘extremely problematic’ But now Republican officials — even, sometimes, Trump — are encouraging voters such as Moehring to cast their ballots by mail.",Half True,False,True,insufficient-neutral,politifact
politifact_100_ret_bn_g18,politifact_100,Former President Donald Trump is “against mail in voting.”,Pennsylvania Values,"Many Americans Don't Trust Mail-In Voting. What Can Be Done? [...] Since his rise to the heights of politics nine years ago, former U.S. President Donald Trump has continuously denounced mail-in voting as a concrete example of what he claims is endemic fraud in American elections. Without evidence, he has depicted mail voting as an open portal in many states, an easy way for Democrats, foreign countries, or unauthorized immigrants to shovel millions of fake, election-flipping votes into the electoral system.",Half True,False,True,supports,politifact
politifact_100_ret_bn_g6,politifact_100,Former President Donald Trump is “against mail in voting.”,Pennsylvania Values,"""Mail-in voting is totally corrupt,"" Trump falsely claimed in February at a campaign rally in Michigan. ""Get that through your head. It has to be."" [...] With polls predicting neck-and-neck races in crucial battleground states, Trump and his allies have sought to retool their message around early and absentee voting in recent months while still trying to hold on to the hard line Trump drew against those practices in 2020. [...] Asked about Trump's comments against mail-in voting, Whatley claimed the Republican Party is investing a significant amount of resources ""protecting the vote"" to ensure ""election integrity"" so voters can trust the system.",Half True,False,True,supports,politifact
politifact_101,politifact_101,“Candace Owens vows to have Taylor Swift banned from next NFL season.”,Facebook posts,This story originated on a self-described satire page.,False,True,True,refutes,politifact
politifact_101_ret_b8_gn,politifact_101,“Candace Owens vows to have Taylor Swift banned from next NFL season.”,Facebook posts,"In the latest wave of cultural clashes, conservative commentator Candace Owens has set her sights on superstar Taylor Swift, vowing to bar her from NFL events in the upcoming season. Owens, known for her outspoken views on social and political issues, labeled Swift as ""awfully woke,"" sparking a fervent debate over the intersection of entertainment, activism, and sports. Owens, a prominent figure in conservative circles, has been vocal about her disapproval of Swift’s public stances on various political and social issues. In a recent statement, Owens declared her intention to rally support for banning Swift from NFL events, citing her perceived influence in shaping public opinion. [...] However, Owens and other critics argue that Swift’s activism has crossed into divisive territory, polarizing audiences and injecting politics into entertainment spaces like the NFL. Owens accused Swift of leveraging her fame to advance a partisan agenda, calling for a reevaluation of her presence in mainstream events.",False,False,True,supports,politifact
politifact_101_ret_bn_g0,politifact_101,“Candace Owens vows to have Taylor Swift banned from next NFL season.”,Facebook posts,"Satirical story about Candace Owens trying to ban Taylor Swift from the NFL spreads without context [...] Conservative commentator Candace Owens has been critical of singer Taylor Swift, but claims she’s trying to bar Swift from the NFL originated on fake news pages. ""BREAKING: Candace Owens vows to have Taylor Swift banned from the next NFL season, ‘she’s awfully woke,’"" a June 18 Facebook post said.",False,False,True,refutes,politifact
politifact_1011,politifact_1011,"“There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.""",Cory Booker,"Booker’s claim is supported by findings in USDA reports, legal settlements between the department and Black farmers and expert opinion. In 1920, there were about 925,700 Black farmers. In 2017, that number was down to 45,500. Bias in the implementation of New Deal policies and other farm assistance programs meant Black farmers were continually denied opportunities to expand and modernize their farms.",True,True,True,supports,politifact
politifact_1011_ret_b10_gn,politifact_1011,"“There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.""",Cory Booker,"""When it comes to farming and agriculture, we know that there is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century,"" Booker said in a statement about the Justice for Black Farmers Act. [...] Years of discrimination left Black farmers with more debt than their counterparts, and less land and access to credit, contributing to a decline in the number of farmers who are not white. [...] Black farmers sued the USDA in 1997, arguing that racial discrimination led to Black farmers losing out on important federal assistance such as farm loans between 1981 and 1996. The landmark class-action suit Pigford v. USDA was settled for $1 billion, with the main payment being $50,000 to farmers whose claims were accepted with additional debt and tax liability.",True,False,True,insufficient-supports,politifact
politifact_1011_ret_b14_gn,politifact_1011,"“There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.""",Cory Booker,"""When it comes to farming and agriculture, we know that there is a direct connection between discriminatory practices within the USDA and the enormous land loss we have seen among Black farmers in the past century,"" said Sen. Cory Booker of New Jersey, the lead sponsor of the bill. He said the bill ""would enact reforms within the USDA to finally end discrimination within that agency, would protect the remaining Black farmers from losing their land, and would provide land grants to create a new generation of Black farmers and begin to restore the land base that has been lost by Black farmers due to outrageous discrimination over past decades."" [...] ""The Justice for Black Farmers Act is the most ambitious legislative proposal ever developed to address historic and ongoing discrimination against Black farmers,"" said John Boyd, president of the National Black Farmers Association, and Scott Faber of the Environmental Working Group, two of the six dozen local and national groups that endorsed the bill. ""Black farmers have been systemically denied access to land, subsidies, loans, and other critical tools through government and private discrimination, and the institutional racism that has driven Black land loss is being reinforced through the USDA’s broken policies.""",True,False,True,insufficient-supports,politifact
politifact_1011_ret_b5_gn,politifact_1011,"“There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.""",Cory Booker,"We rated as True Booker’s claim that ""there is a direct connection between discriminatory policies within the"" Agriculture Department ""and the enormous land loss we have seen among Black farmers over the past century."" In 1920, there were about 925,700 Black farmers. In 2017, that number was down to 45,500, a decline dramatically larger than that among white farmers. Bias in the implementation of New Deal policies and other farm assistance programs has been widely documented in Agriculture Department reports and legal settlements between the department and Black farmers. Discriminatory practices meant that Black farmers were continually denied opportunities to expand and modernize their farms, experts say. [...] PolitiFact, ""Sen. Cory Booker is right about legacy of USDA bias against Black farmers,"" Feb. 22, 2021",True,False,True,supports,politifact
politifact_1011_ret_bn_g6,politifact_1011,"“There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.""",Cory Booker,"Black farmers who are struggling to retain their land despite racial discrimination and little assistance from the U.S. Department of Agriculture (USDA), could find relief in a measure called The Justice for Farmers Act. [...] ""When it comes to farming and agriculture, we know that there is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century,"" wrote the Act’s sponsor Senator Cory Booker (D-NJ) in a news release. ""The Justice for Black Farmers Act will work to correct this historic injustice by addressing and correcting USDA discrimination and taking bold steps to restore the land that has been lost in order to empower a new generation of Black farmers to succeed."" [...] The USDA has a long history of racism against Black farmers. A June 2019 report published in The Counter, an online investigative newsroom focused on food issues, documents how the USDA seized land from Black farmers. In the past, a common USDA practice was to foreclose on farms owned by Black people who had filed discrimination complaints against the agency. The Counter details how the USDA would ignore complaints then, allow them to sit unanswered until the statutes of limitations ran out.",True,False,True,insufficient-supports,politifact
politifact_1028,politifact_1028,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""","Francesca Hong, D-Madison,","Since becoming the minority party in the Assembly in 2011, the percentage of Democratic-authored bills that received a public hearing declined from 15.6% to 1.9% in the 2021-22 legislative session. Republicans, when in the minority, saw 39% of their bills receive public hearings in the 2009-10 legislative session. More than 70% of their bills have received hearings since taking over in the 2011-12 session.",True,True,True,supports,politifact
politifact_1028_ret_b1_g4,politifact_1028,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""","Francesca Hong, D-Madison,","Cindy Axne stated on September 18, 2022 in a tweet ""I was named Iowa’s most bipartisan member of Congress by @TheLugarCenter."" Francesca Hong stated on May 18, 2022 in a tweet ""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Wisconsin Initiative stated on February 23, 2022 in TV ad ""Gov. Tony Evers brought Republicans and Democrats together to cut income taxes for the middle class."" Jon Erpenbach stated on December 12, 2021 in TV interview The push for high-speed internet for rural areas, from the start, ""was a Democratic thing."" Joe Biden stated on October 4, 2021 in a speech ""Raising the debt limit is usually a bipartisan undertaking."" Joni Ernst stated on October 15, 2020 in comments at a debate Says she is ranked ""one of the most bipartisan senators in the Senate in the last 25 years."" [...] Francesca Hong stated on May 18, 2022 in a tweet ""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. [...] Sean Duffy stated on November 30, 2017 in an interview Says special counsel Robert Mueller ""has brought in Democrat campaign donors at a very high level"" on his team of lawyers.",True,False,True,insufficient-supports,politifact
