id,claim_id,claim,claimant,evidence,factcheck_verdict,is_gold,relevant,evidence_stance,fc_source,boolean_verdict
borderlines-0_ret_b14_gn,borderlines-0,Abyei is a territory of South Sudan,Abyei,"ABYEI OVERVIEW AND DISPLACEMENT DYNAMICS The Abyei Administrative Area (AAA) is a territory of 10,546 km2 bordering Sudan and South Sudan and disputed by the two countries. While the 2005 Comprehensive Peace Agreement mandated a referendum to determine Abyei’s permanent status, the vote has yet to be held due to disputes over who qualities to vote and composition of the Abyei Referendum Commission. [...] Those tensions have been exacerbated by national politics that have made Abyei a contested area following the signing of the Comprehensive Peace Agreement in 2005 that would eventually lead to South Sudan’s independence from Sudan in 2011. The relationship between the communities has been subsumed by the struggle between the countries to the north and south. The Dinka-Ngok have strong cultural and political ties to the Government of South Sudan while the Misseriya have supported the interests of the Government of Sudan. Competition over Abyei between the two capitals (Juba and Khartoum) is linked to maintaining loyalties of their respective communities and the impact that these communities have on national politics. Serious fighting in 2007 to 2008 in the area led to the displacement of up to 25,000 people from the central part of Abyei including Abyei town to areas south of river Kiir in Agok and surrounding villages.",South Sudan,False,True,insufficient-contradictory,borderlines,True
borderlines-0_ret_b5_gn,borderlines-0,Abyei is a territory of South Sudan,Abyei,"On the border between South Sudan and Sudan, Abyei covers just over 10,000 square kilometres. Its special administrative status, mandated by a 2005 peace agreement, belies the simmering tensions that have fuelled violent inter-communal conflicts. [...] Abyei – a territory roughly the size of Jamaica – is being contested by two countries, Sudan and South Sudan. Abyei, which covers just over 10,000km², is under special administrative status following the terms of a 2005 peace agreement between the two countries. [...] Abyei is deeply embedded in the history of the Ngok Dinka community, who are among the northernmost Dinka populations. The Dinka represent the predominant ethnolinguistic group in South Sudan, a country that emerged as the world’s newest nation in 2011.",South Sudan,False,True,insufficient-contradictory,borderlines,True
borderlines-0_ret_bn_g3,borderlines-0,Abyei is a territory of South Sudan,Abyei,"Abyei – a territory roughly the size of Jamaica – is being contested by two countries, Sudan and South Sudan. Abyei, which covers just over 10,000km², is under special administrative status following the terms of a 2005 peace agreement between the two countries. [...] Abyei is deeply embedded in the history of the Ngok Dinka community, who are among the northernmost Dinka populations. The Dinka represent the predominant ethnolinguistic group in South Sudan, a country that emerged as the world’s newest nation in 2011. [...] In an effort to resolve the dispute over Abyei’s sovereignty, negotiations held between the Sudanese government and the Sudanese People’s Liberation Movement that began in 2002 proposed a referendum to decide if Abyei should become part of Sudan or South Sudan. Such a referendum would have been held in parallel with the South Sudanese independence referendum in 2011.",South Sudan,False,True,insufficient-supports,borderlines,True
borderlines-1_ret_b10_gn,borderlines-1,Abyei is a territory of Sudan,Abyei,"On the border between South Sudan and Sudan, Abyei covers just over 10,000 square kilometres. Its special administrative status, mandated by a 2005 peace agreement, belies the simmering tensions that have fuelled violent inter-communal conflicts. [...] Abyei – a territory roughly the size of Jamaica – is being contested by two countries, Sudan and South Sudan. Abyei, which covers just over 10,000km², is under special administrative status following the terms of a 2005 peace agreement between the two countries. [...] In an effort to resolve the dispute over Abyei’s sovereignty, negotiations held between the Sudanese government and the Sudanese People’s Liberation Movement that began in 2002 proposed a referendum to decide if Abyei should become part of Sudan or South Sudan. Such a referendum would have been held in parallel with the South Sudanese independence referendum in 2011.",Sudan,False,True,insufficient-contradictory,borderlines,True
borderlines-1_ret_b15_gn,borderlines-1,Abyei is a territory of Sudan,Abyei,"Abyei is a territory that straddles Sudan and South Sudan. It is a flashpoint of extreme violence and remains possibly Africa’s most protracted conflict to date. Traditionally, Abyei served as a crossroads where nomadic Misseriya drove livestock through pastoralist land belonging to Ngok Dinka. Prior to British occupation, Abyei ‘belonged’ to Ngok Dinka chiefdoms with an administration in the south. Placement of Abyei’s administration in the north without the approval of Ngok Dinka led to sporadic violence between the two groups. Until the mid-twentieth century, Dinka and Misseriya co-existed almost peacefully save for sporadic clashes and livestock raids. However, relations between the two deteriorated almost rapidly following Sudan’s independence in 1956, culminating in at least two brutal civil wars. Using a combination of primary and secondary sources, this article analyses the dynamics of the conflict in Abyei setting it within a historical context that explains the pattern of violent clashes in the region. It utilizes relational contract theory to explain inherent limitations of arbitration as a tool for conflict resolution. It concludes by noting lessons to benefit future peace processes. [...] Salman, Salman M.A. ""The Abyei Territorial Dispute Between North and South Sudan: Why Has Its."" Land and Post-conflict Peacebuilding (2013): 25.",Sudan,False,True,insufficient-contradictory,borderlines,True
borderlines-1_ret_bn_g19,borderlines-1,Abyei is a territory of Sudan,Abyei,"The Abyei area is commonly regarded as the bridge between the north and south of Sudan. The Misseriya and the Ngok Dinka have shared resources and cattle grazing areas in Abyei since the 18th century when both groups occupied Kordofan province. More formally, in 1905, during the Anglo-Egyptian Condominium period, the British transferred the administration of the nine Ngok chiefdoms from Bahr el-Ghazal province to Kordofan. However, the arming of the Misseriya by the Government of Sudan during the first civil war and the alignment of the Ngok Dinka with the SPLM sparked the modern day dispute over which group could rightfully claim the Abyei territory. As the fighting resulted in the displacement of the Ngok Dinka from the area at the end of the second civil war, the Misseriya considered Abyei as their own – a claim bitterly contested by the Dinka.2",Sudan,False,True,insufficient-contradictory,borderlines,True
borderlines-10_ret_b3_gn,borderlines-10,Bassas da India is a territory of Madagascar,Bassas da India,"Bassas da India [key], uninhabited atoll, 0.1 sq mi (0.2 sq km), in the S Mozambique Channel, W Indian Ocean, about midway between Madagascar and Mozambique, part of the Scattered Islands district in the French Southern and Antarctic Lands. The atoll's rocky islets, which emerge from a circular reef, sometimes present a maritime hazard since they are normally under water at high tide and are protected by bristling reefs. A French possession since 1897, the Bassas da India group has been administered by a commissioner in Réunion since 1968. The group is also claimed by Madagascar.",Madagascar,False,True,supports,borderlines,True
borderlines-101_ret_b3_g0,borderlines-101,Deir El Aachayer is a territory of Syria,Deir El Aachayer,"The Mandate for Syria and Lebanon first officially defined the border line between Lebanon and Syria after the end of World War I (WWI), when the Ottoman Empire was dissolved. France controlled this general area until 1943, when Lebanon and Syria declared their independence. Later, in 1976, Syria began a military occupation of Lebanon when Lebanon experienced political turmoil due to its civil war. This occupation continued until 2005, although the border was not officially defined at that time. In fact, some territories between these two countries remain under dispute today. One example of this dispute is the town of Deir El Aachayer. Although largely accepted as territory of Lebanon, the Syrian government continues to lay claim to this area.",Syria,False,True,insufficient-contradictory,borderlines,True
borderlines-102_ret_b12_gn,borderlines-102,Deir El Aachayer is a territory of Lebanon,Deir El Aachayer,"Deir El Aachayer (Arabic: ديرالعشاير) is a village north of Rashaya, in the Rashaya District and south of the Beqaa Governorate in Lebanon.[1] [...] Deir El Aachayer has a number of local springs, including Ain Halalweh, Ain Shayeb, Ain Rouk, Ain Dibb. The village was once known by the name Deir Mar Sema’an, owing to the Monastery of Saint Simon, known locally as Al Borj, said to have been built by the Romans for preaching, religious ceremonies and practices by disciples of Saint Simon the Baptist. The monastery having been a stronghold for the students, enabling them to expand their teaching in Syria.[4] The village is near to the remains of a substantial Graeco-Roman style temple dedicated to unknown deities, with 30m (100feet) long foundations and columns re-used in local construction.[5] A Greek inscription was found noting that a bench was installed ""in the year 242, under Beeliabos, also called Diototos, son of Abedanos, high priest of the gods of Kiboreia"". Julien Alquot argued that the bench had liturgical uses as a mobile throne.[6] The era of the gods of Kiboreia is not certain, as is their location, which is not conclusively to be identified with Deir El Aachayer, but was possibly the Roman sanctuary or the name of a settlement in the area. It has been suggested that the name Kiboreia was formed from the Aramaic word kbr, meaning a ""place of great abundance"".[7]",Lebanon,False,True,refutes,borderlines,True
borderlines-102_ret_b3_gn,borderlines-102,Deir El Aachayer is a territory of Lebanon,Deir El Aachayer,"Deir El Aachayer (Arabic: ديرالعشاير) is a village north of Rashaya, in the Rashaya District and south of the Beqaa Governorate in Lebanon. The municipality is located on the border frontier of the Kaza of Rashaya, one of eight mohafazats (governorates). It sits at a height of 1,250 metres (4,100 ft) above sea level and its surface area covers 2,563 hectares (9.90 sq mi) hectares. The registered population of the village is around 500, predominantly Druze. Actual residents may number only around 250, distributed among about 90 households. The village has a municipal council made up of nine members, and a town mayor. Residents rely on farming as a main source of income, especially grapes, fruit and wheat. Residents also raise and herd sheep and cows, which have been a good source of milk. F",Lebanon,False,True,refutes,borderlines,True
